Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000015
fiscalDateEnding,2023-12-01,2022-12-02,2021-12-03,2020-11-27,2019-11-29,2018-11-30,2017-12-01,2016-12-02,2015-11-27,2014-11-28,2013-11-29,2012-11-30,2011-12-02,2010-12-03,2009-11-27,2008-11-28
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,29779000000,27165000000,27241000000,24284000000,20762000000,18768682000,14535556000,12697246000,11726472000,10785829000,10380298000,10040229000,8991183000,8141148000,7282237000,5821598000
totalCurrentAssets,11084000000,8996000000,8669000000,8146000000,6495000000,4857039000,7247813000,5839774000,4821892000,4602328000,4045929000,4397066000,3771451000,3216050000,2473624000,2735103000
cashAndCashEquivalentsAtCarryingValue,7141000000,4236000000,3844000000,4478000000,2650000000,1643000000,2306000000,1011315000,876560000,1117400000,834556000,1425052000,989500000,749891000,999487000,886450000
cashAndShortTermInvestments,7842000000,6096000000,5798000000,5992000000,4177000000,3228962000,5819774000,4761300000,3988084000,3739491000,3173752000,3538353000,2911692000,2468015000,1904473000,2019202000
inventory,None,None,None,None,None,1,1,None,None,95586000,102247000,59537000,None,None,None,None
currentNetReceivables,2224000000,2070000000,1878000000,1398000000,1530000000,1315578000,1217968000,833033000,672006000,591800000,599820000,617233000,634373000,554328000,410879000,None
totalNonCurrentAssets,20205000000,19621000000,20392000000,16490000000,14582175000,13911643000,7287743000,6777033000,6824141000,6103062000,6127130000,5435924000,5033493000,4762676000,4601374000,3086495000
propertyPlantEquipment,2030000000,1908000000,1673000000,1517000000,1293000000,1075072000,936976000,816264000,787421000,785123000,659774000,664302000,527828000,448881000,388132000,313037000
accumulatedDepreciationAmortizationPPE,1731000000,1569000000,1451000000,1458000000,1569000000,1405836000,1266518000,1109948000,971195000,914034000,787964000,734373000,625930000,525087000,442718000,None
intangibleAssets,14981000000,15688000000,16308000000,12101000000,12411764000,12650049000,6207219000,5820879000,5876888000,5191624000,5377235000,4678295000,4394743000,3641844000,4021977000,305603000
intangibleAssetsExcludingGoodwill,2176000000,2898000000,3640000000,1359000000,1720565000,2069001000,385658000,414405000,510007000,469662000,605254000,545036000,545526000,457263000,527388000,305603000
goodwill,12805000000,12787000000,12668000000,10742000000,10691000000,10581000000,5821561000,5406474000,5366881000,4721962000,4771981000,4133259000,3849217000,3641844000,3494589000,2134730000
investments,701000000,None,None,1514000000,929616000,612104000,None,None,3111524000,2621600000,2338476000,2113057000,21000000,25018000,150019000,None
longTermInvestments,None,None,None,None,None,None,None,80439000,80439000,80439000,207239000,207239000,21000000,25018000,63526000,None
shortTermInvestments,701000000,1860000000,1954000000,1514000000,1527000000,1586187000,3513702000,3749985000,3111524000,2622091000,2339196000,2113301000,1922192000,1718124000,904986000,1132752000
otherCurrentAssets,1018000000,835000000,690000000,563000000,783140000,312499000,210071000,245441000,161802000,175758000,170110000,116237000,225386000,193707000,158272000,248667000
otherNonCurrentAssets,1223000000,841000000,883000000,663000000,562000000,None,143548000,139890000,159832000,126315000,90121000,93327000,89922000,98350000,191265000,216529000
totalLiabilities,13261000000,13114000000,12444000000,11020000000,10232000000,9406568000,6075687000,5272411000,4724892000,4009924000,3655664000,3375047000,3208070000,2948761000,2391669000,1411244000
totalCurrentLiabilities,8251000000,8128000000,6932000000,5512000000,8191000000,4301126000,3527457000,2811635000,2213556000,2494435000,1525648000,1271752000,1250779000,1068088000,844553000,762599000
currentAccountsPayable,314000000,379000000,312000000,306000000,209000000,186258000,113538000,88024000,93307000,68377000,62096000,49759000,86660000,52432000,58904000,55840000
deferredRevenue,11900000000,10824000000,9758000000,7519000000,3500000000,None,2494542000,2014750000,1485294000,1155324000,828812000,619565000,531705000,429677000,None,None
currentDebt,0,500000000,0,0,3149000000,0,None,None,0,603229000,14676000,11217000,9212000,8799000,None,None
shortTermDebt,146000000,587000000,194000000,184000000,3149267000,93234000,63746000,81475000,34161000,585692000,14676000,11217000,9212000,1493969000,46634000,435659000
totalNonCurrentLiabilities,1376000000,1357000000,1389000000,5508000000,2041307000,4921110000,666809000,568576000,2511336000,1515489000,2130016000,2037589000,1957291000,1872419000,1540195000,648645000
capitalLeaseObligations,446000000,504000000,550000000,591000000,None,None,None,None,None,None,None,None,None,None,None,None
longTermDebt,3634000000,3629000000,4123000000,4117000000,989000000,4124800000,1881421000,1892200000,1907231000,911086000,1496028000,1495312000,1494627000,0,1000000000,350000000
currentLongTermDebt,None,500000000,None,None,3149343000,None,1882479000,1892200000,1907231000,603229000,14676000,11217000,9212000,8799000,None,None
longTermDebtNoncurrent,None,None,None,None,None,None,None,None,None,911086000,1496028000,1495312000,1494627000,1493969000,1000000000,350000000
shortLongTermDebtTotal,3634000000,3629000000,4123000000,4117000000,4138267000,4124800000,1881421000,1892200000,1887410000,1496778000,1496028000,1495312000,1494627000,1493969000,1260245000,350000000
otherCurrentLiabilities,1869000000,1790000000,1639000000,1330000000,1454110000,1105660000,944223000,696517000,651888000,740941000,673332000,649313000,678505000,626109000,457439000,27136000
otherNonCurrentLiabilities,376000000,293000000,257000000,223000000,173000000,152209000,125188000,97404000,88673000,73747000,61555000,50084000,50883000,42017000,27464000,20565000
totalShareholderEquity,16518000000,14051000000,14797000000,13264000000,10530000000,9362000000,8459000000,7424835000,7001580000,6775905000,6724634000,6665182000,5783113000,5192387000,4890568000,4410354000
treasuryStock,28129000000,23843000000,17399000000,13546000000,10615000000,7990751000,6084436000,5132472000,4267715000,3918851000,3643190000,3407259000,3529529000,3264294000,2823914000,2957154000
retainedEarnings,33346000000,28319000000,23905000000,19611000000,14829000000,11815597000,9573870000,8114517000,7253431000,6924294000,6928964000,7003003000,6528735000,5980914000,5299914000,4913406000
commonStock,0,0,0,0,0,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
commonStockSharesOutstanding,455000000,462000000,475000000,479000000,482339000,487663000,491262000,494254000,497809000,497484000,496261000,494132000,491540000,501897000,522657000,526111000
