Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-12-31,2011-12-31,2010-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,3696406000,3760383000,4537408000,4460126000,4317534000,4258118000,4226908000,3749409000,3462227000,3002208000,2889364000,2839194000,3049923000,2412373000,1447818000
totalCurrentAssets,528505000,555008000,943908000,711323000,541728000,601762000,579709000,697669000,438346000,377406000,384345000,337183000,459329000,422084000,279634000
cashAndCashEquivalentsAtCarryingValue,93971000,95073000,506491000,283524000,32463000,31255000,81377000,68038000,59638000,41337000,52125000,31755000,43378000,38088000,28592000
cashAndShortTermInvestments,93971000,95073000,506491000,283524000,32463000,31255000,81377000,68038000,59638000,41337000,63643000,47409000,87288000,80814000,39664000
inventory,25100000,20700000,9000000,26740000,63819000,None,1,1,None,None,None,None,None,None,None
currentNetReceivables,390023000,416399000,365573000,362668000,430982000,445526000,389916000,356255000,314097000,269038000,250530000,246635000,292783000,275778000,None
totalNonCurrentAssets,3212906000,3239290000,3248672000,3371462000,3400152000,3286720000,3254998000,2853577000,2940956000,2606600000,2534098000,2523379000,2590287000,1997704000,1998642000
propertyPlantEquipment,1944278000,2002021000,2037845000,2122195000,2144722000,2158610000,2078123000,1897241000,1916386000,1772166000,1727798000,1687159000,1687159000,1511292000,998560000
accumulatedDepreciationAmortizationPPE,1105438000,1021840000,949063000,889521000,819030000,752161000,673988000,596339000,520996000,448779000,379099000,306392000,241184000,195106000,None
intangibleAssets,891085000,902887000,921349000,942997000,986426000,1008719000,1034290000,819317000,839586000,649165000,653596000,668626000,686024000,306637000,87813000
intangibleAssetsExcludingGoodwill,135886000,147688000,166124000,187747000,210070000,232360000,255339000,203884000,224148000,155275000,163400000,178318000,195716000,87813000,87813000
goodwill,755199000,755199000,755225000,755250000,776356000,776359000,778951000,615433000,615438000,493890000,490196000,490308000,490308000,218824000,40090000
investments,None,None,None,None,0,0,0,0,1826000,9256000,0,26757000,32146000,37544000,None
longTermInvestments,None,None,367071000,396647000,0,0,0,0,0,0,0,0,0,0,37544000
shortTermInvestments,None,None,None,26740000,32418000,48824000,44932000,17133000,8489000,4341000,11518000,15654000,43910000,42726000,41150000
otherCurrentAssets,44511000,43536000,430910000,421516000,9315000,98791000,90274000,49343000,64611000,67031000,81690000,58793000,58793000,121793000,109986000
otherNonCurrentAssets,85815000,89341000,71013000,79187000,83174000,65860000,72286000,64512000,64307000,102535000,83511000,80938000,79577000,56648000,49690000
totalLiabilities,2404638000,2593985000,3561197000,3547024000,3320704000,3217615000,3027667000,2774353000,2455489000,1956529000,1865842000,1792382000,2026705000,1393472000,783217000
totalCurrentLiabilities,437464000,437212000,378842000,411296000,395928000,705238000,369563000,504058000,278624000,254075000,223125000,259871000,288818000,267287000,177448000
currentAccountsPayable,64447000,79312000,64073000,85861000,99232000,93032000,92587000,79637000,77523000,58155000,47286000,50110000,68033000,73880000,51856000
deferredRevenue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
currentDebt,55882000,44722000,18568000,26180000,24208000,332027000,28920000,238065000,17141000,16752000,22163000,53882000,53666000,41574000,None
shortTermDebt,80522000,66609000,44981000,53219000,50416000,332027000,28920000,238065000,17141000,16752000,22163000,53882000,53882000,53666000,41574000
totalNonCurrentLiabilities,1996177000,2183483000,2917194000,2845725000,2634268000,2530059000,2325462000,2059852000,2008514000,1595072000,1595910000,1446683000,1530445000,922430000,1113824000
capitalLeaseObligations,549000,1280000,1977000,1280000,2954000,4570000,6059000,7431000,8693000,9856000,10924000,11926000,11926000,13087000,13686000
longTermDebt,1837554000,2046006000,2967645000,2935820000,2770033000,2777423000,2620269000,2459340000,2139391000,1625958000,1590534000,1492904000,1591899000,798336000,798336000
currentLongTermDebt,55882000,44723000,18568000,26558000,24543000,335359000,28920000,238065000,17141000,16752000,22163000,53882000,53666000,41574000,19624000
longTermDebtNoncurrent,1725502000,1933145000,2625959000,1933145000,2408297000,2397227000,2181544000,1935465000,1855810000,1462819000,1485536000,1317529000,1319068000,798336000,None
shortLongTermDebtTotal,1837554000,2046006000,2967645000,2935820000,2770033000,2777423000,2620269000,2459340000,2139391000,1625958000,340221000,1492904000,1591912000,798336000,1044990000
