Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,1133471000,1202633000,1142967000,1097908000,1039508000,938775000,928454000,851742000,827184000,787794000,690525000,564779000,453147000,410609000
totalCurrentAssets,11985000,11653000,7956000,11016000,6849000,6591000,6683000,4658000,5152000,8599000,8546000,5546000,3329000,22344513
cashAndCashEquivalentsAtCarryingValue,11985000,11653000,7956000,11016000,6849000,6591000,6683000,4658000,5152000,8599000,8546000,5546000,3329000,7062000
cashAndShortTermInvestments,11985000,11653000,7956000,11016000,6849000,6591000,6683000,4658000,5152000,8599000,8546000,5546000,3329000,7061504
inventory,27496000,3293000,-1164999,-9000,-249999,-1073000,-820000,-100999,27443000,21728000,-22000,-15124000,2473000,2288410
currentNetReceivables,,,,,,,,,,,,,,
totalNonCurrentAssets,249379000,269669000,269628000,265814000,258791000,237353000,240710000,210272000,202031000,187208000,158785000,126380000,37670000,388264089
propertyPlantEquipment,143442000,152916000,149773000,142853000,137532000,125905000,121783000,104719000,97117000,88394000,79153000,69126000,60602000,
accumulatedDepreciationAmortizationPPE,,,,,,,,,,,,,,
intangibleAssets,101048000,111622000,114494000,117379000,115465000,111448000,118927000,105553000,104914000,98814000,79632000,57254000,37670000,26746992
intangibleAssetsExcludingGoodwill,101048000,111622000,114494000,117379000,115465000,111448000,118927000,105553000,104914000,98814000,79632000,57254000,37670000,26746992
goodwill,,,,,,,,,,,,,,
investments,921702000,1000303000,958586000,900215000,849455000,769069000,744940000,690088000,668134000,630432000,561112000,468023000,388737000,
longTermInvestments,,,,,,,,,,,,,,
shortTermInvestments,6906000,12893000,1165000,9000,250000,1073000,820000,101000,40000,4000,22000,,,
otherCurrentAssets,-28050000,-64794000,-60948000,-61776000,-55891000,12652000,20812000,19398000,12816000,14643000,13704000,10526000,4086000,2621091
otherNonCurrentAssets,,,,,,,,,,,,,,
totalLiabilities,809164000,826883000,770529000,722585000,676318000,598758000,578224000,541122000,593313000,570122000,507379000,442414000,317833000,299234000
totalCurrentLiabilities,121894000,36212000,43717000,60731000,60077000,55311000,30457000,48232000,54414000,52501000,28119000,1175000,1188000,3648288
currentAccountsPayable,,,,,,,,,,,,,,
deferredRevenue,,,,,,,,,,,,,,
currentDebt,,,,,,,,,,,,,,
shortTermDebt,75750000,23250000,33550000,53312000,51579000,50084000,20715000,39225000,45300000,43300000,24400000,25000000,304050000,287869463
totalNonCurrentLiabilities,295853000,359389000,449944000,456177000,575015000,515975000,521912000,470170000,524270000,459299000,422602000,359185000,285350000,295586007
capitalLeaseObligations,5093000,5308000,5509000,5687000,5847000,,,,,,,,,
longTermDebt,738861000,749206000,707526000,669280000,626594000,566059000,542627000,509395000,1037140000,502599000,447002000,384185000,304050000,
currentLongTermDebt,75750000,23250000,33550000,53312000,51579000,50084000,20715000,39225000,,,,,,
longTermDebtNoncurrent,295853000,359389000,449944000,456177000,575015000,515975000,521912000,470170000,485770000,459299000,422602000,359185000,285350000,
shortLongTermDebtTotal,738861000,749206000,707526000,668692000,626594000,566059000,542627000,993898000,1037140000,502599000,447002000,384185000,304050000,287869463
otherCurrentLiabilities,3232000,-36641000,-23339000,-17673000,21000,2523000,114000,1041000,868000,916000,1360000,1175000,3289000,-284221175
otherNonCurrentLiabilities,14138000,14617000,16788000,46474000,41247000,7292000,9719000,11114000,,11230000,,,,
totalShareholderEquity,153280000,203904000,200918000,213183000,208134000,249744000,266798000,239877000,233871000,217672000,183146000,122365000,135314000,111375000
treasuryStock,,,,,,,,,,,,,,
retainedEarnings,-584776000,-530228000,-468523000,-409041000,-360978000,-310117000,-268058000,-223587000,-185051000,-151724000,-115248000,-92708000,-75830000,-61933725
commonStock,40000,39000,37000,35000,32000,29000,28000,25000,22000,20000,16000,11000,11000,9000
commonStockSharesOutstanding,40000596,39744359,37473587,35331970,32593651,29254899,28384016,24882758,22485607,19589606,15662414,10945379,10945379,8724613
