,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000015
fiscalDateEnding,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,512163000000,411976000000,364840000000,333779000000,301311000000,286556000000,258848000000,250312000000,193468000000,174472000000,172384000000,142431000000,121271000000,108704000000,86113000000,77888000000
totalCurrentAssets,159734000000,184257000000,169684000000,184406000000,181915000000,175552000000,169662000000,162696000000,139660000000,122797000000,114246000000,101466000000,85084000000,74918000000,55676000000,49280000000
cashAndCashEquivalentsAtCarryingValue,18315000000,34704000000,13931000000,14224000000,13576000000,11356000000,11946000000,7663000000,6510000000,5595000000,8669000000,3804000000,6938000000,9610000000,5505000000,6076000000
cashAndShortTermInvestments,75543000000,111262000000,104757000000,130334000000,136527000000,133819000000,133768000000,132981000000,113240000000,96526000000,85709000000,77022000000,63040000000,52772000000,36788000000,31447000000
inventory,1246000000,2500000000,3742000000,2636000000,1895000000,2063000000,2662000000,2181000000,2251000000,2902000000,2660000000,1938000000,1137000000,1372000000,740000000,717000000
currentNetReceivables,56924000000,48688000000,45261000000,39008000000,32011000000,29524000000,26481000000,19792000000,18277000000,17908000000,19544000000,17486000000,15780000000,14987000000,13014000000,None
totalNonCurrentAssets,357329000000,232219000000,198956000000,152773000000,122096000000,105825000000,84300000000,81235000000,54034000000,48676000000,55410000000,39256000000,34294000000,33786000000,30437000000,28608000000
propertyPlantEquipment,135591000000,95641000000,74398000000,59715000000,44151000000,36477000000,29460000000,23734000000,18356000000,14731000000,13011000000,9991000000,8269000000,8162000000,7630000000,7535000000
