Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000015
fiscalDateEnding,2024-01-28,2023-01-29,2022-01-30,2021-01-31,2020-01-26,2019-01-27,2018-01-28,2017-01-29,2016-01-31,2015-01-25,2014-01-26,2013-01-27,2012-01-29,2011-01-30,2010-01-31,2009-01-25
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,65728000000,41182000000,44187000000,28791000000,17315000000,13292000000,11241000000,9841000000,7370000000,7201000000,7250894000,6412245000,5552928000,4495246000,3585918000,3350727000
totalCurrentAssets,44345000000,23073000000,28829000000,16055000000,13690000000,10557000000,9255000000,8536000000,6053000000,5713000000,5624711000,4775258000,3905358000,3226950000,2480830000,2167958000
cashAndCashEquivalentsAtCarryingValue,7280000000,3389000000,1990000000,847000000,10896000000,782000000,4002000000,1766000000,596000000,497000000,1152000000,733000000,667876000,665361000,447221000,417688000
cashAndShortTermInvestments,25984000000,13296000000,21208000000,11561000000,10897000000,7422000000,7108000000,6798000000,5037000000,4623339000,4671810000,3727883000,3129576000,2490563000,1728227000,417688000
inventory,5282000000,5159000000,2605000000,1826000000,979000000,1575000000,796000000,794000000,418000000,483000000,387765000,412467000,340297000,345525000,330674000,537834000
currentNetReceivables,9999000000,3827000000,4650000000,2429000000,1657000000,1424000000,1265000000,826000000,505000000,473637000,426357000,454252000,336143000,348770000,374963000,
totalNonCurrentAssets,22899000000,18408000000,15624000000,12880000000,3077000000,2735000000,1986000000,1305000000,1317000000,1488071000,1626183000,1661218000,1673438000,1238265000,1062160000,1182769000
propertyPlantEquipment,3914000000,3807000000,2778000000,2149000000,1674000000,1404000000,997000000,521000000,466000000,557000000,582740000,576144000,560072000,568857000,571858000,625798000
