Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000015
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,125698000000,118644000000,103327000000,97856000000,85196000000,76995000000,68012000000,68598000000,63234000000,60127000000,55605000000,52449000000,49750000000,46025000000,42945000000,40860000000
totalCurrentAssets,14383000000,12815000000,11077000000,9602000000,10165000000,9195000000,6281000000,6164000000,5813000000,6389000000,5977000000,5121000000,6480000000,5542000000,5657000000,6403000000
cashAndCashEquivalentsAtCarryingValue,635000000,734000000,291000000,484000000,1570000000,1668000000,449000000,177000000,123000000,151000000,296000000,401000000,513000000,291000000,527000000,219000000
cashAndShortTermInvestments,635000000,734000000,291000000,484000000,1570000000,1668000000,449000000,177000000,123000000,151000000,597000000,731000000,893000000,854000000,1160000000,219000000
inventory,65000000,91000000,44000000,95000000,97000000,111000000,115000000,117000000,126000000,172000000,137000000,135000000,159000000,152000000,114000000,232000000
currentNetReceivables,2048000000,2645000000,2345000000,1883000000,1287000000,1171000000,1265000000,1434000000,1282000000,1178000000,1108000000,954000000,1005000000,944000000,1609000000,None
totalNonCurrentAssets,38152000000,38066000000,30029000000,92040000000,79188000000,69349000000,63017000000,63730000000,58812000000,54792000000,50664000000,48097000000,43955000000,41097000000,37667000000,34457000000
propertyPlantEquipment,81534000000,76208000000,69826000000,66136000000,61635000000,58557000000,53789000000,50581000000,46723000000,43941000000,41252000000,37523000000,33655000000,31449000000,28892000000,26261000000
accumulatedDepreciationAmortizationPPE,None,None,None,27758000000,26455000000,24715000000,23459000000,22014000000,20619000000,19121000000,17844000000,16644000000,15912000000,14840000000,14188000000,13572000000
intangibleAssets,None,None,None,None,None,None,None,None,None,None,None,110000000,112000000,68000000,70000000,60000000
intangibleAssetsExcludingGoodwill,None,None,None,None,None,None,None,None,None,None,None,110000000,3000000,112000000,70000000,60000000
goodwill,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
investments,456000000,1497000000,4581000000,4209000000,3703000000,3138000000,1295000000,1192000000,1215000000,1130000000,1103000000,1052000000,1057000000,None,2014000000,None
longTermInvestments,3574000000,3297000000,3798000000,3538000000,3173000000,2730000000,2863000000,2606000000,None,None,None,None,None,None,None,None
shortTermInvestments,-280000000,None,None,None,None,None,None,7000000,234000000,298000000,301000000,330000000,380000000,563000000,633000000,1290000000
otherCurrentAssets,1375000000,1433000000,882000000,1334000000,639000000,448000000,464000000,290000000,338000000,443000000,611000000,172000000,218000000,193000000,240000000,2008000000
otherNonCurrentAssets,3079000000,2969000000,2863000000,1978000000,1804000000,1480000000,1221000000,1226000000,1064000000,963000000,1036000000,659000000,682000000,614000000,379000000,482000000
totalLiabilities,100658000000,95821000000,82356000000,76855000000,80060000000,64344000000,48792000000,50658000000,46658000000,44379000000,41263000000,39375000000,37649000000,34743000000,32612000000,31483000000
totalCurrentLiabilities,17314000000,15788000000,17427000000,13581000000,7631000000,41695000000,7129000000,7564000000,6363000000,5920000000,7493000000,6256000000,7749000000,7185000000,6813000000,7626000000
currentAccountsPayable,3160000000,3666000000,3534000000,2982000000,2520000000,1975000000,1646000000,1495000000,1414000000,1244000000,1293000000,1241000000,1177000000,1129000000,984000000,1096000000
deferredRevenue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
currentDebt,5606000000,4323000000,6665000000,3575000000,556000000,21994000000,1376000000,2216000000,1179000000,633000000,2086000000,921000000,1733000000,1662000000,1175000000,None
shortTermDebt,3971000000,2055000000,2184000000,3547000000,0,3435000000,931000000,1516000000,1019000000,633000000,1174000000,492000000,1647000000,853000000,833000000,287000000
totalNonCurrentLiabilities,83092000000,79781000000,64677000000,63022000000,21631000000,22397000000,41411000000,42842000000,40043000000,38207000000,33518000000,32867000000,29648000000,27306000000,25547000000,23605000000
capitalLeaseObligations,554000000,0,1277000000,1741000000,2286000000,None,None,None,None,None,None,None,None,None,None,None
longTermDebt,50975000000,47742000000,38225000000,37288000000,23116000000,None,350000000,352000000,348000000,350000000,350000000,349000000,349000000,349000000,11208000000,10534000000
currentLongTermDebt,1376000000,2268000000,4481000000,28000000,0,18559000000,445000000,700000000,160000000,0,889000000,400000000,50000000,809000000,342000000,600000000
longTermDebtNoncurrent,50975000000,47742000000,38225000000,37288000000,0,22075000000,17753000000,16220000000,15925000000,15050000000,12717000000,12517000000,11766000000,10906000000,10381000000,9321000000
shortLongTermDebtTotal,54946000000,49797000000,2184000000,3547000000,0,3435000000,1281000000,1868000000,1367000000,983000000,1524000000,841000000,1996000000,1202000000,12769000000,11791000000
otherCurrentLiabilities,4698000000,3372000000,2436000000,2256000000,1254000000,1512000000,1449000000,2323000000,1997000000,1846000000,1612000000,2018000000,1836000000,1558000000,1501000000,1567000000
otherNonCurrentLiabilities,3633000000,4291000000,4308000000,3848000000,2573000000,2464000000,2130000000,2279000000,2326000000,2218000000,2178000000,2020000000,2136000000,2085000000,2116000000,2245000000
totalShareholderEquity,25040000000,22823000000,20971000000,21001000000,5136000000,12651000000,19220000000,17940000000,16576000000,15748000000,14342000000,13074000000,12101000000,11282000000,10333000000,9377000000
treasuryStock,0,2517000000,4854000000,0,None,None,None,None,None,None,None,None,None,None,None,None
retainedEarnings,-5321000000,-7542000000,-4247000000,-9196000000,-7892000000,-250000000,6596000000,5751000000,5301000000,5316000000,4742000000,4747000000,4712000000,4606000000,4213000000,3614000000
commonStock,30374000000,32887000000,35129000000,30224000000,13038000000,12910000000,12632000000,12198000000,11282000000,10421000000,9550000000,8428000000,7602000000,6878000000,6280000000,5984000000
commonStockSharesOutstanding,2133597758,1987784948,1985400540,1984678673,529236741,520338710,514755845,506891874,492025443,475913404,456670424,430718293,412257082,395227205,371272457,358000000
