Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2020-11-25,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,136904000,116466000,133274000,72175000,100000,28277000,19251000,8929000,4091000,3696000,7114000,17221000,25936000,21785000,15701000
totalCurrentAssets,87855000,69559000,82689000,63023000,None,22566000,14324000,8371000,3422000,2766000,5705000,13704000,21362000,18048000,12532000
cashAndCashEquivalentsAtCarryingValue,44579000,20144000,42612000,39173000,None,14040000,10128000,5565000,247000,8000,63000,323000,823000,789000,None
cashAndShortTermInvestments,44579000,20144000,42612000,39173000,None,14040000,10128000,5565000,247000,8000,63000,323000,823000,789000,None
inventory,13106000,13484000,10756000,8635000,None,2378000,837000,423000,107000,305000,1935000,5002000,6160000,4556000,3641000
currentNetReceivables,26838000,35063000,28632000,13837000,None,5833000,2791000,2185000,3028000,2426000,3457000,7033000,12224000,10984000,None
totalNonCurrentAssets,49049000,46907000,50585000,9152000,100000,5711000,1858000,558000,669000,930000,1409000,3517000,4574000,3737000,None
propertyPlantEquipment,3114000,2175000,2186000,1925000,None,858000,819000,188000,580000,801000,1276000,2891000,3705000,3422000,2906000
accumulatedDepreciationAmortizationPPE,2746000,3292000,2642000,2507000,None,2063000,1462000,1014000,1943000,1631000,1260000,2057000,1692000,1193000,None
intangibleAssets,28559000,29468000,30375000,None,None,None,None,None,34000,74000,131000,178000,600000,None,None
intangibleAssetsExcludingGoodwill,8158000,9067000,9975000,None,None,None,None,0,34000,74000,131000,178000,349000,0,None
goodwill,20401000,20401000,20400000,None,None,None,None,None,None,None,None,None,251000,0,None
investments,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
longTermInvestments,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
shortTermInvestments,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
otherCurrentAssets,None,None,None,None,None,None,None,None,None,None,None,35000,57000,42000,41000
otherNonCurrentAssets,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
totalLiabilities,90775000,50108000,59349000,15320000,None,8624000,9960000,4027000,7893000,7767000,8381000,12373000,13881000,11645000,7519000
totalCurrentLiabilities,18532000,21086000,22871000,10117000,None,5197000,6983000,4027000,7745000,7539000,8057000,9684000,12093000,9748000,5552000
currentAccountsPayable,None,None,None,None,None,None,None,None,2879000,2477000,2544000,2743000,2057000,2189000,1313000
deferredRevenue,None,None,None,None,None,None,None,None,54000,89000,112000,0,None,None,None
currentDebt,196000,10794000,5333000,77000,None,1256000,685000,354000,2889000,4111000,4520000,5912000,6050000,3420000,None
shortTermDebt,None,5333000,5333000,None,None,None,685000,None,None,None,None,None,None,None,None
totalNonCurrentLiabilities,72243000,19022000,26778000,5203000,None,3427000,531000,12000,148000,228000,324000,2676000,1685000,1897000,None
capitalLeaseObligations,457000,188000,317000,283000,None,145000,10000,None,None,None,None,None,None,None,None
longTermDebt,57605000,5293000,10605000,None,None,None,None,231000,2771000,4002000,4442000,5835000,5945000,3289000,None
currentLongTermDebt,None,5333000,5333000,None,None,1211000,0,231000,2771000,4002000,4442000,5820000,5906000,3289000,None
longTermDebtNoncurrent,57605000,5293000,10605000,None,None,None,None,0,0,None,None,None,None,None,None
shortLongTermDebtTotal,57605000,10626000,15938000,None,None,None,None,231000,2771000,4002000,4442000,5820000,5945000,3289000,None
otherCurrentLiabilities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
otherNonCurrentLiabilities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
totalShareholderEquity,46129000,66358000,73925000,56855000,None,19742000,9380000,4991000,-3713000,-3982000,-1201000,4882000,12050000,10140000,8182000
treasuryStock,71562000,33160000,6513000,3846000,None,3846000,3675000,243000,0,None,None,None,None,None,None
retainedEarnings,26780000,17048000,0,23430000,None,14356000,4864000,None,None,None,None,None,6566000,5013000,3449000
commonStock,33000,39000,41000,36000,None,34000,34000,33000,31000,31000,31000,31000,31000,31000,31000
commonStockSharesOutstanding,32933776,36825081,39737890,34791931,None,32791665,32271367,32778040,31271234,31271234,31271234,31171234,31148234,30816631,30604167
