Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,22839000000,24943000000,22777000000,17588000000,13324000000,13427000000,9960000000,12740000000,15447000000,5765000000,6267000000
paymentsForOperatingActivities,8255000000,5746000000,6646000000,4512000000,3381000000,1293000000,2866000000,4604000000,1705000000,973000000,1626000000
proceedsFromOperatingActivities,None,None,None,None,None,35000000,None,None,None,None,None
changeInOperatingLiabilities,3840000000,1605000000,1628000000,1514000000,-1121000000,190000000,425000000,-1187000000,1503000000,-193000000,-426000000
changeInOperatingAssets,539000000,2405000000,1660000000,835000000,208000000,1316000000,416000000,502000000,-77000000,423000000,-1084000000
depreciationDepletionAndAmortization,8652000000,8467000000,8503000000,6466000000,2017000000,1765000000,1501000000,1189000000,836000000,786000000,897000000
capitalExpenditures,777000000,695000000,787000000,798000000,552000000,638000000,529000000,479000000,532000000,612000000,491000000
changeInReceivables,-66000000,1455000000,1321000000,929000000,74000000,591000000,391000000,71000000,1076000000,172000000,-681000000
changeInInventory,417000000,686000000,142000000,40000000,231000000,226000000,-93000000,38000000,434000000,203000000,56000000
profitLoss,4873000000,11845000000,11549000000,4622000000,7882000000,5687000000,5309000000,5953000000,5144000000,1774000000,4128000000
cashflowFromInvestment,-2009000000,-623000000,-2344000000,-37557000000,596000000,-1006000000,-274000000,-6074000000,-12936000000,-926000000,879000000
cashflowFromFinancing,-17222000000,-24803000000,-19039000000,-11501000000,18708000000,-14396000000,-5512000000,-3928000000,5752000000,-3293000000,-3442000000
proceedsFromRepaymentsOfShortTermDebt,None,None,0,0,-3699000000,3301000000,22000000,-29000000,-19000000,12000000,-601000000
paymentsForRepurchaseOfCommonStock,1972000000,1487000000,934000000,978000000,629000000,12014000000,1410000000,6033000000,7586000000,665000000,320000000
paymentsForRepurchaseOfEquity,1972000000,1487000000,934000000,978000000,629000000,12014000000,1410000000,6033000000,7567000000,652000000,320000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,10539000000,10043000000,9261000000,7716000000,6366000000,5580000000,4107000000,3717000000,3294000000,2661000000,2555000000
dividendPayoutCommonStock,10539000000,10043000000,9261000000,7716000000,6366000000,5580000000,4107000000,3717000000,3294000000,2661000000,2555000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,2000000000,1000000000,3000000000,31482000000,5963000000,0,11627000000,20660000000,None,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-1792000000,-1225000000,-690000000,-769000000,-621000000,-11941000000,-1156000000,-5765000000,-7425000000,-427000000,27000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,None,-483000000,1297000000,-31475000000,32635000000,-2014000000,4203000000,-3299000000,51000000,-1247000000,3694000000
changeInExchangeRate,None,None,-97000000,-5000000,7000000,-39000000,29000000,-338000000,-300000000,-577000000,-10000000
netIncome,4863000000,11836000000,11542000000,4616000000,7882000000,5687000000,5309000000,5953000000,5144000000,1774000000,4128000000
