Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-01,2022-12-02,2021-12-03,2020-11-27,2019-11-29,2018-11-30,2017-12-01,2016-12-02,2015-11-27,2014-11-28,2013-11-29,2012-11-30,2011-12-02,2010-12-03,2009-11-27
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,7302000000,7838000000,7230000000,5727000000,4422000000,4029000000,2912853000,2199728000,1469502000,1287482000,1151686000,1499580000,1543314000,1112995000,1117794000
paymentsForOperatingActivities,203000000,210000000,216000000,187000000,152075000,81258000,69430000,141298000,142346000,133132000,115747000,76268000,73916000,34632000,2088000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,86000000,92000000,144000000,110000000,198986000,577941000,71425000,626652000,350908000,390070000,184502000,-39310000,163875000,151603000,-2443000
changeInOperatingAssets,977000000,292000000,905000000,182000000,718880000,79208000,159133000,231437000,87203000,-6010000,21860000,-49718000,86165000,174239000,194101000
depreciationDepletionAndAmortization,872000000,856000000,788000000,757000000,757000000,346000000,325997000,331535000,339473000,313590000,321227000,299766000,270205000,292738000,282423000
capitalExpenditures,360000000,442000000,348000000,419000000,394479000,266579000,178122000,203805000,184936000,148332000,188358000,271076000,210294000,169642000,119592000
changeInReceivables,159000000,198000000,430000000,-106000000,188000000,2000000,187173000,160416000,79502000,-7928000,-33649000,-45166000,81065000,134276000,-172287000
changeInInventory,208000000,None,450000000,-202000000,164697000,445796000,232359000,166697000,56632000,-14139000,-40781000,-59224000,25463000,12384000,69668000
profitLoss,5428000000,4756000000,4822000000,5260000000,2951458000,2590774000,1693954000,1168782000,629551000,268395000,289985000,832775000,832847000,774680000,386508000
cashflowFromInvestment,776000000,-570000000,-3537000000,-414000000,-456000000,-4685000000,-442877000,-960033000,-1488358000,-490707000,-1177803000,-834662000,-757402000,-1159294000,-1497096000
cashflowFromFinancing,-5182000000,-6825000000,-4301000000,-3488000000,-2946000000,-5000000,-1183735000,-1090706000,-200687000,-507283000,-559138000,-234723000,-550358000,-215262000,477636000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,4400000000,6550000000,3950000000,3050000000,2750000000,2050000000,1100000000,1075000000,600000000,600000000,1100000000,405000000,695015000,850020000,350013000
paymentsForRepurchaseOfEquity,4400000000,6550000000,3950000000,3050000000,2750000000,2050000000,1100000000,1075000000,625000000,600000000,1100000000,405000000,695015000,850020000,350013000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,186000000,None,None,2977000000,None,2248342000,None,74569000,896604000,119898000,25703000,3152000,None,1493439000,650000000
dividendPayoutCommonStock,186000000,None,None,2977000000,None,2248342000,None,74569000,896604000,119898000,25703000,3152000,None,1493439000,650000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None,None,None,None,989280000,0,None,None,None,1493439000,650000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-4086000000,-6272000000,-3659000000,-2780000000,-2517068000,-1859010000,-941649000,-929303000,-460730000,-372159000,-599224000,-235726000,-550261000,-710750000,-170447000
proceedsFromSaleOfTreasuryStock,314000000,278000000,291000000,270000000,233000000,191000000,158351000,145697000,164270000,227841000,598194000,235251000,144754000,139270000,179566000
changeInCashAndCashEquivalents,None,443000000,-608000000,1828000000,1007446000,-663297000,1294757000,134755000,-240840000,282844000,-590496000,435552000,239609000,-249596000,113037000
changeInExchangeRate,None,None,-26000000,3000000,-13000000,-2000000,8516000,-14234000,-21297000,-6648000,-5241000,5357000,4055000,11965000,14703000
netIncome,5428000000,4756000000,4822000000,5260000000,2951000000,2591000000,1693954000,1168782000,629551000,268395000,289985000,832775000,832847000,774680000,386508000
