,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,84946000000,46752000000,46327000000,66064000000,38514000000,30723000000,18365000000,17203000000,12039000000,6842000000,5475000000,4180000000,3903000000,3495000000,3293000000
paymentsForOperatingActivities,10761000000,9007000000,7243000000,5087000000,4008000000,0,0,1119000000,444000000,97000000,175000000,460000000,14000000,86000000,80000000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,10051000000,5161000000,5916000000,18745000000,9904000000,4414000000,7913000000,16961000000,11695000000,6192000000,4579000000,3108000000,4064000000,3113000000,2159000000
changeInOperatingAssets,10816000000,2592000000,9487000000,2849000000,3278000000,1314000000,3583000000,1426000000,2187000000,1193000000,1410000000,1860000000,2643000000,1314000000,1012000000
depreciationDepletionAndAmortization,48663000000,41921000000,34433000000,25180000000,21789000000,15341000000,11478000000,8116000000,6281000000,3616000000,2460000000,1653000000,1034000000,552000000,384000000
capitalExpenditures,52729000000,63645000000,61053000000,40140000000,16861000000,13427000000,11955000000,7804000000,4589000000,4893000000,3444000000,3785000000,1811000000,979000000,373000000
changeInReceivables,None,-21897000000,-18163000000,-8169000000,-7681000000,-4615000000,-4786000000,-3367000000,-1755000000,-1039000000,-846000000,861000000,866000000,295000000,481000000
changeInInventory,-1449000000,2592000000,9487000000,2849000000,3278000000,1314000000,3583000000,1426000000,2187000000,1193000000,1410000000,999000000,1777000000,1019000000,531000000
profitLoss,30445000000,-2722000000,33355000000,21331000000,11588000000,10073000000,3033000000,2371000000,596000000,-241000000,274000000,-39000000,631000000,1152000000,902000000
cashflowFromInvestment,-49833000000,-37601000000,-58154000000,-59611000000,-24281000000,-12369000000,-27084000000,-9516000000,-6450000000,-5065000000,-4276000000,-3595000000,-1930000000,-3360000000,-2337000000
cashflowFromFinancing,-15879000000,9718000000,6291000000,-1104000000,-10066000000,-7686000000,9928000000,-3716000000,-3882000000,4432000000,-539000000,2259000000,-482000000,181000000,-280000000
proceedsFromRepaymentsOfShortTermDebt,-7548000000,3999000000,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,0,6000000000,0,0,None,None,None,None,None,0,0,960000000,277000000,None,0
paymentsForRepurchaseOfEquity,0,6000000000,0,0,None,None,None,None,None,0,0,960000000,0,None,0
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayoutCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,0,21166000000,19003000000,10525000000,2273000000,768000000,16231000000,621000000,353000000,6359000000,None,None,None,None,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,None,-6000000000,None,None,None,None,None,None,None,None,None,-960000000,-277000000,None,None
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,None,18869000000,-5900000000,5967000000,4237000000,10317000000,1188000000,3444000000,1333000000,5899000000,574000000,2815000000,1492000000,333000000,675000000
changeInExchangeRate,None,None,-364000000,618000000,70000000,-351000000,713000000,-212000000,-374000000,-310000000,-86000000,-29000000,1000000,17000000,-1000000
netIncome,30425000000,-2722000000,33364000000,21331000000,11588000000,10073000000,3033000000,2371000000,596000000,-241000000,274000000,-39000000,631000000,1152000000,902000000
