Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,284933000,296412000,282635000,441733000,338143000,274475000,381042000,-28028000,142157000,202541000,192189000,264240000,189112000,129890000
paymentsForOperatingActivities,252935000,187462000,211774000,157785000,195895000,141601000,129163000,130793000,110583000,81680000,88198000,77519000,71907000,70785000
proceedsFromOperatingActivities,None,None,5200000,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,8090000,21845000,-58111000,57266000,10672000,31689000,2366000,5645000,21912000,9022000,-9970000,27410000,-16756000,3238000
changeInOperatingAssets,None,-5305000,-6231000,-5156000,8391000,66101000,-20938000,50946000,29311000,-23809000,27239000,-44737000,20128000,11764000
depreciationDepletionAndAmortization,125784000,132925000,135177000,134680000,130825000,126434000,124297000,114916000,106756000,96171000,94664000,91685000,81548000,48111000
capitalExpenditures,73002000,90026000,69394000,108800000,117244000,195666000,148406000,81565000,117581000,114224000,117566000,107549000,107549000,224713000
changeInReceivables,None,None,None,None,None,-2049000,-40515000,280562000,114086000,73289000,0,None,None,None
changeInInventory,-11672000,None,None,None,None,None,None,None,None,None,None,None,None,None
profitLoss,107183000,171692000,77233000,112831000,166412000,144827000,146024000,148498000,139315000,143840000,115197000,133898000,77463000,62790000
cashflowFromInvestment,-60570000,2960000,-53737000,-104174000,-104137000,-188483000,-500255000,-77694000,-452880000,-121170000,-98976000,-55316000,-635541000,-368261000
cashflowFromFinancing,-208083000,-699100000,11263000,-96744000,-250654000,-124966000,164719000,119668000,332250000,-88900000,-69040000,-222282000,454018000,243698000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfCommonStock,None,None,None,9009000,0,95175000,0,0,2786000,1844000,0,8666000,74982000,80000000
paymentsForRepurchaseOfEquity,None,None,None,9009000,0,95175000,0,0,0,0,0,8666000,74982000,80000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,4486000,8263000,30486000,216145000,232546000,229498000,227463000,194748000,186984000,170234000,147156000,108193000,4012000,9911000
dividendPayoutCommonStock,4486000,8263000,30486000,216145000,232546000,229498000,227463000,194748000,186984000,170234000,147156000,102435000,0,0
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,30000000,435000000,960579000,521370000,502998000,1389084000,1012945000,724798000,654000000,1238000000,358000000,835395000,726000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,6146000,264000,297000,-8393000,1790000,-92754000,7459000,3783000,3215000,7668000,5744000,1070000,-72536000,-73305000
proceedsFromSaleOfTreasuryStock,5750000,None,None,None,None,None,None,436000,441000,387000,319000,460000,0,0
changeInCashAndCashEquivalents,None,None,240161000,240815000,-16648000,-38974000,13339000,8400000,18301000,-10788000,20370000,-11623000,5290000,9496000
changeInExchangeRate,None,None,None,None,None,None,-3013000,1120000,-3226000,-3259000,-3803000,1735000,-2299000,4169000
netIncome,107325000,171813000,77418000,113032000,166603000,145089000,146241000,148715000,139438000,143930000,115135000,134750000,78625000,63468000
