Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,87582000000,89035000000,76740000000,60675000000,52185000000,43884000000,39507000000,33325000000,46203000000,32231000000,28833000000,31626000000,26994000000,24073000000
paymentsForOperatingActivities,3207000000,2797000000,2438000000,2165000000,1917000000,1697000000,2068000000,1678000000,2043000000,780000000,580000000,437000000,197000000,145000000
proceedsFromOperatingActivities,,,,,,,,,,,,,,
changeInOperatingLiabilities,5281000000,11917000000,10673000000,4293000000,9633000000,26031000000,69711000000,56134000000,44993000000,46887000000,46094000000,36657000000,32459000000,-1502000000
changeInOperatingAssets,7669000000,11471000000,11609000000,5776000000,5767000000,5564000000,348000000,1138000000,-1592000000,1938000000,3216000000,727000000,3209000000,2238000000
depreciationDepletionAndAmortization,14852000000,15580000000,11821000000,12911000000,11600000000,9900000000,7800000000,5878000000,5400000000,4245000000,3339000000,2758000000,2000000000,2507000000
capitalExpenditures,28107000000,23886000000,20622000000,15441000000,13925000000,11632000000,8129000000,8343000000,5944000000,5485000000,4257000000,2305000000,2355000000,1977000000
changeInReceivables,4087000000,6834000000,6481000000,2577000000,2812000000,3862000000,925000000,530000000,-1456000000,1120000000,1807000000,1156000000,1451000000,2238000000
changeInInventory,-1242000000,1123000000,737000000,-168000000,-597000000,465000000,-50000000,-600000000,272000000,161000000,802000000,-184000000,561000000,44000000
profitLoss,72361000000,72738000000,61271000000,44281000000,39240000000,16571000000,21204000000,16798000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000
cashflowFromInvestment,-22680000000,-30311000000,-27577000000,-12223000000,-15773000000,-6061000000,-46781000000,-23950000000,-23001000000,-18833000000,-23811000000,-24786000000,-14616000000,-11314000000
cashflowFromFinancing,-43935000000,-58876000000,-48486000000,-46031000000,-36887000000,-33590000000,8408000000,-8393000000,-9080000000,-8394000000,-8148000000,-9408000000,-8376000000,-13291000000
proceedsFromRepaymentsOfShortTermDebt,,,,0,0,-7324000000,-4963000000,7195000000,4481000000,500000000,0,0,-1186000000,-991000000
paymentsForRepurchaseOfCommonStock,22245000000,32696000000,27385000000,22968000000,19543000000,10721000000,11788000000,15969000000,14443000000,7316000000,5360000000,5029000000,11555000000,11269000000
paymentsForRepurchaseOfEquity,22245000000,32696000000,27385000000,22968000000,19543000000,10721000000,11788000000,15969000000,14443000000,7316000000,5360000000,5029000000,11555000000,11269000000
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,
dividendPayout,19800000000,18135000000,16521000000,15137000000,13811000000,12699000000,11845000000,11006000000,9882000000,8879000000,7455000000,6385000000,5180000000,4578000000
dividendPayoutCommonStock,19800000000,18135000000,16521000000,15137000000,13811000000,12699000000,11845000000,11006000000,9882000000,8879000000,7455000000,6385000000,5180000000,4578000000
dividendPayoutPreferredStock,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,1866000000,1841000000,1693000000,1343000000,1142000000,1002000000,772000000,668000000,634000000,607000000,931000000,1913000000,2422000000,2311000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,,,,,,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-20379000000,-30855000000,-25692000000,-21625000000,-18401000000,-9719000000,-11016000000,-15301000000,-13809000000,-6709000000,-4429000000,-3116000000,-9133000000,-7158000000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,
changeInCashAndCashEquivalents,,-152000000,648000000,2220000000,-590000000,4283000000,1153000000,915000000,-3074000000,4865000000,-3134000000,-2672000000,4105000000,-571000000
changeInExchangeRate,,,-29000000,-201000000,-115000000,50000000,19000000,-67000000,-73000000,-139000000,-8000000,-104000000,103000000,-39000000
netIncome,72361000000,72738000000,61271000000,44281000000,39240000000,16571000000,25489000000,20539000000,12193000000,22074000000,21863000000,16978000000,23150000000,18760000000
