Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2024-01-28,2023-01-29,2022-01-30,2021-01-31,2020-01-26,2019-01-27,2018-01-28,2017-01-29,2016-01-31,2015-01-25,2014-01-26,2013-01-27,2012-01-29,2011-01-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,28090000000,5641000000,9108000000,5822000000,4761000000,3743000000,3502000000,1672000000,1175000000,906000000,835000000,824172000,909156000,675797000
paymentsForOperatingActivities,538000000,438000000,400000000,279000000,157000000,55000000,55000000,42000000,90000000,35664000,28319000,2772000,3008000,3127000
proceedsFromOperatingActivities,,,,,,,,,10000000,16625000,23827000,64905000,50475000,
changeInOperatingLiabilities,2045000000,-299000000,760000000,526000000,222000000,211000000,571000000,170000000,-108000000,-67968000,-20382000,10885000,35708000,-69786000
changeInOperatingAssets,7792000000,3249000000,4704000000,1468000000,-441000000,980000000,419000000,714000000,-18000000,139881000,-53503000,197889000,-45120000,12213000
depreciationDepletionAndAmortization,1508000000,1544000000,1174000000,1098000000,381000000,262000000,201000000,210000000,226000000,248262000,241334000,178000000,161700000,157000000
capitalExpenditures,1069000000,1833000000,976000000,1128000000,489000000,600000000,593000000,176000000,86000000,122381000,255186000,183309000,138735000,97890000
changeInReceivables,6172000000,-822000000,2215000000,550000000,233000000,149000000,440000000,321000000,32000000,49324000,-28852000,118940000,-26236000,26341000
changeInInventory,98000000,2554000000,774000000,524000000,-597000000,776000000,0,375000000,-66000000,95000000,-25000000,78949000,-18884000,14128000
profitLoss,29760000000,4368000000,9752000000,4332000000,2796000000,4141000000,3047000000,1666000000,614000000,630587000,439990000,562536000,581090000,253146000
cashflowFromInvestment,-10566000000,7375000000,-9830000000,-19675000000,6145000000,-4097000000,1278000000,-793000000,-400000000,-727000000,-806000000,-743992000,-1143364000,-649678000
cashflowFromFinancing,-13633000000,-11617000000,1865000000,3804000000,-792000000,-2866000000,-2544000000,291000000,-676000000,-834000000,390000000,-15270000,236723000,192021000
proceedsFromRepaymentsOfShortTermDebt,,,,,,,,,,,,,,
paymentsForRepurchaseOfCommonStock,9533000000,10039000000,0,0,0,1579000000,909000000,739000000,587000000,814000000,887000000,100000000,0,0
paymentsForRepurchaseOfEquity,9533000000,10039000000,0,0,0,1579000000,909000000,739000000,587000000,813600000,887304000,100000000,0,0
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,
dividendPayout,395000000,398000000,399000000,395000000,390000000,371000000,341000000,261000000,213000000,186000000,181000000,46866000,0,0
dividendPayoutCommonStock,395000000,398000000,399000000,395000000,390000000,371000000,341000000,261000000,213000000,186452000,181336000,46866000,,
dividendPayoutPreferredStock,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,177276000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,0,0,0,0,,,1477500000,,,
proceedsFromIssuanceOfPreferredStock,,,,,,,,,0,0,59100000,0,0,
proceedsFromRepurchaseOfEquity,-9130000000,-10039000000,-1904000000,-942000000,-1579000000,-1579000000,-909000000,-739000000,-467000000,-660128000,-758034000,-35065000,195857000,177276000
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,
changeInCashAndCashEquivalents,,1399000000,1143000000,-10049000000,10114000000,-3220000000,2236000000,1170000000,99000000,-655000000,419000000,64910000,2515000,218140000
changeInExchangeRate,,,,,,,,,,,,,,
netIncome,29760000000,4368000000,9752000000,4332000000,2796000000,4141000000,3047000000,1666000000,614000000,631000000,440000000,562536000,581090000,253146000
