Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,4747000000,3721000000,2262000000,-19130000000,4816000000,4752000000,5977000000,4409000000,3780000000,3690000000,3427000000,4882000000,3739000000,3206000000,3039000000
paymentsForOperatingActivities,4186000000,3907000000,3804000000,4063000000,2410000000,786000000,790000000,726000000,684000000,633000000,623000000,594000000,647000000,627000000,-612000000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,605000000,None
changeInOperatingLiabilities,-90000000,627000000,117000000,58000000,516000000,409000000,173000000,180000000,-55000000,-61000000,113000000,-4000000,65000000,168000000,-27000000
changeInOperatingAssets,218000000,734000000,1477000000,-248000000,205000000,323000000,40000000,609000000,247000000,109000000,263000000,171000000,438000000,206000000,169000000
depreciationDepletionAndAmortization,115000000,3856000000,3403000000,3469000000,3234000000,3036000000,2854000000,2755000000,2612000000,2433000000,2077000000,2272000000,62000000,38000000,20000000
capitalExpenditures,9714000000,9584000000,7689000000,7690000000,6313000000,6514000000,5641000000,5709000000,5173000000,4833000000,5207000000,4624000000,4038000000,3802000000,-3958000000
changeInReceivables,11000000,304000000,1312000000,-382000000,46000000,121000000,-67000000,473000000,177000000,-13000000,152000000,40000000,288000000,44000000,-156000000
changeInInventory,28000000,246000000,32000000,-6000000,80000000,73000000,18000000,24000000,-37000000,22000000,10000000,24000000,63000000,43000000,-109000000
profitLoss,2256000000,1814000000,-88000000,-1304000000,-7642000000,-6837000000,1660000000,1407000000,888000000,1450000000,828000000,830000000,858000000,1113000000,1234000000
cashflowFromInvestment,-9162000000,-10214000000,-6905000000,-7748000000,-6378000000,-6564000000,-5650000000,-5753000000,-5211000000,-4714000000,-5107000000,-4526000000,-3986000000,-3857000000,-3336000000
cashflowFromFinancing,4400000000,7133000000,4323000000,25928000000,1464000000,3031000000,-55000000,1171000000,1403000000,879000000,1575000000,-468000000,469000000,415000000,605000000
proceedsFromRepaymentsOfShortTermDebt,135000000,80000000,-1396000000,6053000000,0,-332000000,-590000000,491000000,383000000,-283000000,542000000,-1271000000,782000000,-251000000,799000000
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,None,None,None,None,None,None,1021000000,921000000,856000000,828000000,782000000,746000000,704000000,706000000,621000000
dividendPayoutCommonStock,None,None,None,None,0,0,1021000000,921000000,856000000,828000000,782000000,746000000,704000000,662000000,590000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,85000000,200000000,395000000,822000000,780000000,802000000,1045000000,751000000,662000000,303000000,219000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,7606000000,4271000000,4624000000,13497000000,0,793000000,2713000000,983000000,1123000000,2308000000,1532000000,1137000000,792000000,1327000000,1730000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,None,0,0,1304000000,85000000,200000000,395000000,822000000,780000000,802000000,1045000000,1005000000,662000000,303000000,219000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,None,640000000,-320000000,-950000000,-98000000,1219000000,272000000,54000000,-28000000,-145000000,-105000000,-112000000,222000000,-236000000,308000000
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,2256000000,1814000000,-88000000,-1304000000,-7642000000,-6837000000,1660000000,1407000000,888000000,1450000000,828000000,830000000,858000000,2226000000,1220000000
