Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,17756000,13746000,6949000,818000,6303000,9408000,8260000,1769000,-615000,5702000,-382000,-879000,-362000
paymentsForOperatingActivities,739000,391000,82000,19000,5000,784000,355000,351000,503000,536000,960000,1479000,1322000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,269000,1834000,2889000,3773000,-95000,39000,-1216000,1414000,-110000,-230000,-1895000,-381000,2064000
changeInOperatingAssets,-5812000,10936000,18104000,16069000,5162000,1392000,-1000000,1834000,-1816000,-3883000,-3447000,3745000,6059000
depreciationDepletionAndAmortization,4367000,3246000,2391000,1633000,797000,601000,797000,435000,199000,708000,889000,962000,897000
capitalExpenditures,1206000,418000,609000,985000,160000,1082000,87000,226000,226000,272000,-764000,565000,1267000
changeInReceivables,-8225000,6430000,14781000,8004000,3042000,606000,-843000,2018000,9000,-3061000,-3829000,1725000,4865000
changeInInventory,1445000,4320000,3776000,7323000,2360000,414000,316000,-198000,-1602000,-1642000,279000,2070000,1046000
profitLoss,9732000,17048000,17103000,9074000,9492000,9552000,7365000,69000,-2934000,-6231000,-7340000,1548000,1564000
cashflowFromInvestment,-966000,-418000,-16606000,-985000,-160000,-1082000,-87000,-226000,108000,10000,117000,-1584000,-1267000
cashflowFromFinancing,7645000,-35796000,13096000,25300000,-2231000,-3763000,-2855000,-1304000,-504000,-1231000,-235000,2497000,1816000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,-384000,-2386000,-1232000,-440000,-1378000,-86000,2617000,2019000
paymentsForRepurchaseOfCommonStock,37924000,26426000,2667000,None,171000,3432000,222000,0,None,None,None,None,None
paymentsForRepurchaseOfEquity,37924000,26426000,2667000,None,171000,3432000,222000,0,None,None,None,None,None
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,3000,3613000,1000,412000,2262000,2270000,1581000,2262000,None,None,None,None,None
dividendPayoutCommonStock,3000,3613000,1000,412000,2262000,2270000,1581000,2262000,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,25203000,221000,176000,39000,0,None,None,None,13000,48000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,57018000,None,None,None,None,None,None,None,None,207000,None,None,None
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-37738000,-26280000,-2306000,27469000,850000,-3056000,0,-183000,-183000,None,None,13000,48000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,None,-22468000,3439000,25133000,3912000,4563000,5318000,239000,-55000,-260000,-500000,34000,187000
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,9732000,17048000,17103000,9074000,9492000,9552000,7365000,69000,-2911000,-6199000,-7301000,1553000,1564000
