Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-01,2022-12-02,2021-12-03,2020-11-27,2019-11-29,2018-11-30,2017-12-01,2016-12-02,2015-11-27,2014-11-28,2013-11-29,2012-11-30,2011-12-02,2010-12-03,2009-11-27
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,17055000000,15441000000,13920000000,11146000000,9498000000,7835000000,6291014000,5034522000,4051194000,3524985000,3468683000,3919895000,3778385000,3396498000,2649121000
totalRevenue,19409000000,17606000000,15785000000,12868000000,11171000000,9030000000,7301505000,5854430000,4795511000,4147065000,4055240000,4403677000,4216258000,3800000000,2945853000
costOfRevenue,2354000000,2165000000,1865000000,1722000000,1673000000,1195000000,1010491000,819908000,744317000,622080000,586557000,483782000,437873000,403502000,296732000
costofGoodsAndServicesSold,207000000,236000000,181000000,205000000,227000000,91300000,76100000,819908000,744317000,622080000,586557000,483782000,437873000,403502000,296732000
operatingIncome,6650000000,6098000000,5802000000,4237000000,3268000000,2840000000,2168095000,1493602000,903095000,412685000,422723000,1180191000,1099299000,993074000,690513000
sellingGeneralAndAdministrative,6764000000,6187000000,5406000000,4559000000,4124984000,3365727000,2822298000,2486399000,2215161000,2195640000,2140578000,1951141000,1800427000,1627696000,1280652000
researchAndDevelopment,3473000000,2987000000,2540000000,2188000000,1930228000,1537812000,1224059000,975987000,862730000,844353000,826631000,742823000,738053000,680332000,565141000
operatingExpenses,10405000000,9343000000,8118000000,6909000000,6230000000,4995000000,4122919000,3540920000,3148099000,3112300000,3045960000,2739704000,2679086000,2403424000,1958608000
investmentIncomeNet,269000000,61000000,17000000,43000000,68321000,92540000,66069000,47340000,28759000,21355000,21887000,24549000,24506000,21923000,34978000
netInterestIncome,-113000000,-112000000,-113000000,-116000000,-157214000,-89242000,-74402000,-70442000,-64184000,-59732000,-67508000,-67487000,-66952000,-56952000,-3407000
interestIncome,269000000,61000000,17000000,43000000,-214000,-242000,66069000,47340000,None,None,None,None,None,None,None
interestExpense,113000000,112000000,113000000,116000000,157000000,89000000,74402000,70442000,64184000,59732000,67508000,67487000,66952000,56952000,3407000
nonInterestIncome,-17000000,-21000000,-17000000,-2000000,-26252000,-42612000,-30705000,-35716000,-20130000,-18840000,-23760000,-32544000,-44998000,-13622000,-13420000
otherNonOperatingIncome,246000000,41000000,0,42000000,42255000,39536000,83000,29000,22325000,825000,1042000,594000,912000,1211000,1070000
depreciation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
depreciationAndAmortization,610000000,594000000,561000000,559000000,575400000,339700000,310500000,310000000,320800000,296900000,301600000,280600000,249000000,292738000,282423000
incomeBeforeTax,6799000000,6008000000,5705000000,4176000000,3205000000,2794000000,2137641000,1435138000,873781000,361376000,356141000,1118794000,1035230000,943151000,701520000
incomeTaxExpense,1371000000,1252000000,883000000,-1084000000,254000000,203000000,443687000,266356000,244230000,92981000,66156000,286019000,202383000,168471000,315012000
interestAndDebtExpense,113000000,112000000,113000000,116000000,157214000,89242000,74402000,70442000,64184000,59732000,67508000,67487000,66952000,56952000,3407000
netIncomeFromContinuingOperations,5428000000,4756000000,4822000000,5260000000,2951458000,2590774000,1693954000,1168782000,629551000,268395000,289985000,832775000,832847000,774680000,386508000
comprehensiveIncomeNetOfTax,5436000000,4600000000,4843000000,5290000000,2911000000,2555000000,1755735000,1164260000,468565000,214198000,305376000,833537000,845369000,767662000,353732000
ebit,6912000000,6120000000,5818000000,4292000000,3362000000,2883000000,2212043000,1505580000,937965000,421108000,423649000,1186281000,1102182000,1000103000,704927000
ebitda,7522000000,6714000000,6379000000,4851000000,3937400000,3222700000,2522543000,1815580000,1258765000,718008000,725249000,1466881000,1351182000,1292841000,987350000
netIncome,5428000000,4756000000,4822000000,5260000000,2951000000,2591000000,1693954000,1168782000,629551000,268395000,289985000,832775000,832847000,774680000,386508000
