,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,183837000000,139192000000,126928000000,102560000000,67626000000,65283000000,51222000000,31752000000,22853000000,16330000000,13264000000,9900000000,7668000000,5608000000,5531000000
totalRevenue,571668000000,511276000000,467958000000,384452000000,278902000000,231264000000,177265000000,135565000000,106332000000,88680000000,74227000000,60926000000,48097000000,34097000000,24479000000
costOfRevenue,387831000000,372084000000,341030000000,281892000000,211276000000,165981000000,126043000000,103813000000,83479000000,72350000000,60963000000,51026000000,40429000000,28489000000,20364000000
costofGoodsAndServicesSold,304739000000,288831000000,272344000000,233307000000,165536000000,139156000000,111934000000,88265000000,71651000000,62752000000,54181000000,45971000000,37288000000,26561000000,18978000000
operatingIncome,36852000000,12248000000,24879000000,22899000000,14541000000,12421000000,4106000000,4186000000,2233000000,178000000,745000000,676000000,862000000,1406000000,1129000000
sellingGeneralAndAdministrative,76486000000,74729000000,58274000000,39576000000,35081000000,26350000000,13743000000,7432000000,5547000000,4852000000,3529000000,2896000000,2058000000,1360000000,1008000000
researchAndDevelopment,85622000000,73213000000,56052000000,42740000000,35931000000,28837000000,22620000000,16085000000,12540000000,9275000000,6565000000,4564000000,2909000000,1734000000,1240000000
operatingExpenses,84992000000,84853000000,69686000000,49985000000,46941000000,27999000000,14949000000,16166000000,12288000000,9956000000,7211000000,5306000000,3360000000,1967000000,4402000000
investmentIncomeNet,2949000000,989000000,448000000,555000000,832000000,440000000,202000000,100000000,50000000,39000000,38000000,40000000,61000000,51000000,37000000
netInterestIncome,-3182000000,-2367000000,-1809000000,-1647000000,-1600000000,-1417000000,-848000000,-484000000,-459000000,-210000000,-141000000,-92000000,-65000000,-39000000,-34000000
interestIncome,2493000000,989000000,448000000,555000000,832000000,440000000,202000000,100000000,680000000,None,None,None,None,None,None
interestExpense,3182000000,2367000000,1809000000,1647000000,1600000000,1417000000,848000000,484000000,459000000,210000000,141000000,92000000,65000000,39000000,34000000
nonInterestIncome,574850000000,513643000000,469767000000,386099000000,280502000000,232681000000,247000000,62000000,-215000000,-98000000,-84000000,-95000000,70000000,-70000000,5000000
otherNonOperatingIncome,938000000,-16806000000,14633000000,2371000000,203000000,-183000000,346000000,90000000,-256000000,-118000000,-136000000,-80000000,76000000,79000000,29000000
depreciation,30200000000,24924000000,22909000000,16239000000,15100000000,12138000000,8800000000,6362000000,4949000000,3600000000,None,None,None,None,None
depreciationAndAmortization,6606000000,6704000000,10412000000,9009000000,10659000000,475000000,366000000,8116000000,6281000000,4746000000,3253000000,2159000000,1083000000,568000000,378000000
incomeBeforeTax,37525000000,-5939000000,38155000000,24194000000,13988000000,11270000000,3802000000,3771000000,1546000000,-74000000,435000000,389000000,922000000,1504000000,1155000000
incomeTaxExpense,7100000000,-3217000000,4791000000,2863000000,2400000000,1197000000,769000000,1400000000,950000000,167000000,161000000,428000000,291000000,352000000,253000000
interestAndDebtExpense,3182000000,2367000000,1809000000,1647000000,1600000000,1417000000,848000000,484000000,459000000,210000000,141000000,92000000,65000000,39000000,34000000
netIncomeFromContinuingOperations,30445000000,-2722000000,33355000000,21331000000,11588000000,10073000000,3033000000,2371000000,596000000,-241000000,274000000,-39000000,631000000,1152000000,902000000
comprehensiveIncomeNetOfTax,31872000000,-5833000000,32168000000,22137000000,11637000000,9526000000,3534000000,2109000000,384000000,-567000000,328000000,38000000,505000000,1018000000,969000000
ebit,40707000000,-3572000000,39964000000,25841000000,15588000000,12687000000,4650000000,4255000000,2005000000,136000000,576000000,481000000,987000000,1543000000,1189000000
ebitda,47313000000,3132000000,50376000000,34850000000,26247000000,13162000000,5016000000,12371000000,8286000000,4882000000,3829000000,2640000000,2070000000,2111000000,1567000000
netIncome,30425000000,-2722000000,33364000000,21331000000,11588000000,10073000000,3033000000,2371000000,596000000,-241000000,274000000,-39000000,631000000,1152000000,902000000
