Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,65969000,71420000,74059000,70748000,57200000,56720000,203755000,187445000,178710000,143215000,57234000,60956000,53091000
totalRevenue,147584000,148981000,137688000,133152000,114387000,106798000,94799000,86372000,217536000,195255000,96761000,82086000,70580000
costOfRevenue,81615000,77561000,63629000,62404000,57187000,50078000,52096000,42021000,38826000,52040000,39527000,21130000,17489000
costofGoodsAndServicesSold,25858000,26832000,27098000,26004000,12592000,11458000,7688000,5889000,5296000,4711000,14148000,1588000,986000
operatingIncome,-50134000,-46338000,-28741000,-29107000,-23031000,-14417000,135418000,131850000,127745000,85809000,24411000,36061000,31821000
sellingGeneralAndAdministrative,4363000,3705000,3218000,3259000,3235000,2358000,2366000,2127000,2094000,2689000,1655000,1594000,1497000
researchAndDevelopment,0.03,0.07,0.07,0.11,,,,,,,,,
operatingExpenses,116103000,116248000,102800000,99855000,80231000,71137000,68337000,55595000,50965000,57406000,32823000,24895000,21270000
investmentIncomeNet,,,,,,,,,,,,,
netInterestIncome,-37330000,-32457000,-26887000,-26803000,-28279000,-26172000,-24570000,-25902000,-28014000,-26197000,-24351000,-20226000,-17076000
interestIncome,,,,,28279000,26172000,24570000,27404000,30757000,,,,
interestExpense,37330000,32457000,26887000,26803000,28279000,26172000,24570000,25902000,28014000,26197000,24351000,20226000,17076000
nonInterestIncome,2830000,0,,,,103268000,92811000,84498000,80892000,76485000,59769000,50915000,43632000
otherNonOperatingIncome,204000,454000,2880000,395000,712000,72000,52000,343000,14000,174000,101000,127000,48000
depreciation,,,,,,,,,,,,,
depreciationAndAmortization,57856000,60154000,60311000,55424000,52039000,47620000,42795000,37517000,35288000,28864000,22827000,16831000,14149000
incomeBeforeTax,4922000,9272000,9733000,14985000,9541000,12324000,5937000,3958000,3596000,-5902000,1527000,3761000,150
incomeTaxExpense,7738000,32457000,29727000,27245000,28904000,2835000,24622000,24743000,25285000,23628000,21709000,17838000,16992000
interestAndDebtExpense,34500000,32457000,26887000,26803000,28279000,26172000,24570000,27404000,28014000,20923000,24351000,22741000,17076000
netIncomeFromContinuingOperations,-76693000,-68289000,-53896000,-47419000,-47646000,-37754000,114893000,103529000,98540000,63557000,-2582000,10932000,5714000
comprehensiveIncomeNetOfTax,132000,22920000,12627000,12719000,7650000,12137000,5972000,3958000,98540000,63557000,1527000,3761000,5714000
ebit,-50134000,-46338000,-28741000,-29107000,-23031000,-14417000,135418000,131850000,127745000,85809000,24411000,36061000,31821000
ebitda,7722000,15326000,31570000,26317000,29008000,33203000,178213000,169367000,163033000,114673000,47238000,52892000,45970000
netIncome,4985000,10805000,9773000,14938000,9628000,12320000,5937000,3958000,3596000,-5902000,1527000,3761000,5714000
