Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,34300000000,32687000000,31486000000,30865000000,31533000000,36936000000,36943000000,38516000000,40684000000,46407000000,48684000000,50361000000,50138000000,46014000000,43785000000
totalRevenue,61860000000,60530000000,57350000000,55179000000,57714000000,79591000000,79139000000,79919000000,81741000000,92793000000,98367000000,102874000000,106916000000,99870000000,95758000000
costOfRevenue,27560000000,27842000000,25865000000,24314000000,26181000000,42655000000,42196000000,41403000000,41057000000,46386000000,49683000000,52513000000,56778000000,53857000000,51973000000
costofGoodsAndServicesSold,245000000,385000000,300000000,439000000,591000000,42655000000,41703000000,40580000000,40046000000,45346000000,50136000000,53122000000,55713000000,52757000000,50752000000
operatingIncome,6979000000,6408000000,4786000000,4609000000,9004000000,10838000000,8813000000,9715000000,13333000000,16443000000,17075000000,16082000000,16531000000,14411000000,15792000000
sellingGeneralAndAdministrative,19003000000,18609000000,18745000000,20561000000,18724000000,19366000000,19680000000,20869000000,20430000000,23180000000,23451000000,23463000000,23594000000,21837000000,20952000000
researchAndDevelopment,6775000000,6567000000,6488000000,6262000000,5910000000,5379000000,5590000000,5726000000,5247000000,5437000000,5743000000,5816000000,6258000000,6026000000,5820000000
operatingExpenses,27321000000,26279000000,26700000000,30966000000,27484000000,26098000000,27414000000,28579000000,27351000000,28429000000,31832000000,33946000000,34229000000,31166000000,28395000000
investmentIncomeNet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netInterestIncome,-1607000000,-1216000000,-1155000000,-1288000000,-1344000000,-723000000,-615000000,-630000000,-468000000,-484000000,-402000000,-459000000,-411000000,-368000000,-402000000
interestIncome,591000000,162000000,52000000,105000000,349000000,264000000,144000000,108000000,None,None,None,None,None,None,None
interestExpense,1607000000,1216000000,1155000000,1288000000,1344000000,723000000,615000000,630000000,468000000,484000000,402000000,459000000,411000000,368000000,402000000
nonInterestIncome,-77000000,365000000,337000000,-92000000,None,None,None,None,-71000000,1535000000,236000000,729000000,342000000,805000000,-219000000
otherNonOperatingIncome,266000000,443000000,225000000,156000000,968000000,-1152000000,216000000,-145000000,724000000,1938000000,327000000,843000000,20000000,787000000,351000000
depreciation,2109000000,2407000000,3888000000,4227000000,4209000000,3127000000,3021000000,2837000000,2662000000,3145000000,3327000000,3392000000,3589000000,3657000000,3773000000
depreciationAndAmortization,2287000000,2395000000,2529000000,2468000000,1850000000,1353000000,1520000000,1544000000,1193000000,1347000000,1938000000,1829000000,1779000000,1729000000,1221000000
incomeBeforeTax,8678000000,1013000000,5867000000,4230000000,9491000000,11347000000,11395000000,12321000000,15771000000,16250000000,19839000000,22134000000,20997000000,19714000000,18138000000
incomeTaxExpense,1176000000,-626000000,124000000,-1360000000,60000000,2619000000,5642000000,449000000,2581000000,4234000000,3363000000,5541000000,5148000000,4890000000,4713000000
interestAndDebtExpense,1607000000,1216000000,1155000000,1288000000,1344000000,723000000,615000000,630000000,468000000,484000000,402000000,459000000,411000000,368000000,402000000
netIncomeFromContinuingOperations,7514000000,1783000000,4712000000,3932000000,7146000000,8723000000,5758000000,11881000000,13364000000,15751000000,16483000000,16604000000,15855000000,14833000000,13425000000
comprehensiveIncomeNetOfTax,5481000000,8134000000,10582000000,4850000000,10324000000,8252000000,8559000000,12081000000,11459000000,5742000000,37117000000,29324000000,17603000000,29744000000,29865000000
ebit,10285000000,2229000000,7022000000,5518000000,10835000000,12070000000,12010000000,12951000000,16239000000,16734000000,20241000000,22593000000,21408000000,20082000000,18540000000
ebitda,12572000000,4624000000,9551000000,7986000000,12685000000,13423000000,13530000000,14495000000,17432000000,18081000000,22179000000,24422000000,23187000000,21811000000,19761000000
netIncome,7502000000,1639000000,5743000000,5590000000,9431000000,8728000000,5753000000,11872000000,13190000000,12016000000,16476000000,16593000000,15849000000,14824000000,13425000000
