Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013
fiscalDateEnding,2024-01-28,2023-01-29,2022-01-30,2021-01-31,2020-01-26,2019-01-27,2018-01-28,2017-01-29,2016-01-31,2015-01-25,2014-01-26,2013-01-27,2012-01-29,2011-01-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,44301000000,15356000000,17475000000,10396000000,6768000000,7171000000,5822000000,4063000000,2811000000,2599000000,2268000000,2226343000,2056517000,1409090000
totalRevenue,60922000000,26974000000,26914000000,16675000000,10918000000,11658000000,9714000000,6910000000,5010000000,4682000000,4130000000,4280159000,3997930000,3543309000
costOfRevenue,16621000000,11618000000,9439000000,6279000000,4150000000,5798000000,3892000000,2847000000,2199000000,2083000000,1862000000,2053816000,1941413000,2134219000
costofGoodsAndServicesSold,774000000,1040000000,173000000,6279000000,4150000000,4545000000,3892000000,2847000000,2199000000,2082030000,1862399000,20000000,16700000,2134219000
operatingIncome,32972000000,4224000000,10041000000,4532000000,2846000000,3804000000,3210000000,1934000000,747000000,759000000,496000000,648239000,648299000,255747000
sellingGeneralAndAdministrative,2654000000,2440000000,2166000000,1940000000,1093000000,991000000,815000000,663000000,602000000,480000000,436000000,430822000,405613000,361513000
researchAndDevelopment,8675000000,7339000000,5268000000,3924000000,2829000000,2376000000,1797000000,1463000000,1331000000,1360000000,1336000000,1147282000,1002605000,848830000
operatingExpenses,11329000000,11132000000,7434000000,5864000000,3922000000,3367000000,2612000000,2129000000,2064000000,1840000000,1772000000,1578104000,1408218000,1153343000
investmentIncomeNet,866000000,267000000,29000000,57000000,178000000,136000000,69000000,54000000,39000000,28090000,17119000,19908000,19149000,19057000
netInterestIncome,-257000000,-262000000,-236000000,-184000000,-52000000,-58000000,-61000000,-58000000,-47000000,-46133000,-10443000,-3294000,-3089000,-3127000
interestIncome,866000000,267000000,29000000,57000000,178000000,136000000,69000000,54000000,8000000,-133000,-443000,,,
interestExpense,257000000,262000000,236000000,184000000,52000000,58000000,61000000,58000000,47000000,46000000,10000000,3294000,3089000,3127000
nonInterestIncome,,,26914000000,16675000000,10918000000,11716000000,-19000000,-16000000,0,500000,4700000,-1500000,,
otherNonOperatingIncome,237000000,-48000000,107000000,4000000,-2000000,14000000,-22000000,-25000000,4000000,14000000,7000000,-2814000,-963000,-508000
depreciation,894000000,844000000,611000000,486000000,355000000,233000000,144000000,118000000,124000000,143000000,164000000,157600000,145200000,157000000
depreciationAndAmortization,614000000,699000000,563000000,1098000000,381000000,262000000,199000000,187000000,197000000,220000000,239000000,226235000,204205000,186989000
incomeBeforeTax,33818000000,4181000000,9941000000,4409000000,2970000000,3896000000,3196000000,1905000000,743000000,755000000,510000000,662039000,663396000,271169000
incomeTaxExpense,4058000000,-187000000,189000000,77000000,174000000,-245000000,149000000,239000000,129000000,124000000,70000000,99503000,82306000,18023000
interestAndDebtExpense,257000000,262000000,236000000,184000000,52000000,58000000,80000000,79000000,47000000,46133000,10443000,3294000,3089000,3127000
netIncomeFromContinuingOperations,29760000000,4368000000,9752000000,4332000000,2796000000,4141000000,3047000000,1666000000,614000000,630587000,439990000,562536000,581090000,253146000
comprehensiveIncomeNetOfTax,29830000000,4336000000,9722000000,4350000000,2809000000,4147000000,3045000000,1654000000,602000000,634000000,435000000,561903000,581432000,251246000
ebit,34075000000,4443000000,10177000000,4593000000,3022000000,3954000000,3257000000,1963000000,790000000,801000000,520000000,665333000,666485000,274296000
ebitda,34689000000,5142000000,10740000000,5691000000,3403000000,4216000000,3456000000,2150000000,987000000,1021000000,759000000,891568000,870690000,461285000
netIncome,29760000000,4368000000,9752000000,4332000000,2796000000,4141000000,3047000000,1666000000,614000000,631000000,440000000,562536000,581090000,253146000
