Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000014
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,23333000000,21209000000,20299000000,18169000000,16805000000,15170000000,12431000000,12502000000,11383000000,11154000000,10452000000,10653000000,10687000000,9831000000,9688000000
totalRevenue,24428000000,21680000000,20642000000,18469000000,17129000000,16759000000,17135000000,17666000000,16833000000,17090000000,15598000000,15040000000,14956000000,13841000000,13399000000
costOfRevenue,1095000000,471000000,343000000,300000000,324000000,660000000,4704000000,5164000000,5450000000,5936000000,5146000000,4387000000,4269000000,4010000000,3711000000
costofGoodsAndServicesSold,16121000000,14665000000,14581000000,12582000000,12554000000,11652000000,4309000000,4765000000,5099000000,5615000000,5016000000,4162000000,4016000000,3898000000,3711000000
operatingIncome,2671000000,1837000000,1883000000,1755000000,-10094000000,-9700000000,2905000000,2080000000,1508000000,2450000000,1762000000,1693000000,1942000000,2308000000,2299000000
sellingGeneralAndAdministrative,91000000,115000000,56000000,35000000,50000000,449000000,188000000,205000000,182000000,158000000,135000000,124000000,91000000,112000000,109000000
researchAndDevelopment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
operatingExpenses,22484000000,20101000000,18969000000,16749000000,27273000000,26908000000,14367000000,15694000000,15507000000,14798000000,14681000000,14275000000,13905000000,12125000000,11805000000
investmentIncomeNet,606000000,162000000,20000000,39000000,82000000,76000000,31000000,23000000,9000000,9000000,9000000,7000000,7000000,9000000,33000000
netInterestIncome,-2850000000,-1917000000,-1601000000,-1260000000,-934000000,-929000000,-888000000,-829000000,-773000000,-734000000,-715000000,-703000000,-700000000,-684000000,-705000000
interestIncome,501000000,162000000,20000000,39000000,852000000,76000000,31000000,23000000,764000000,None,None,None,None,None,None
interestExpense,2850000000,1917000000,1601000000,1260000000,934000000,929000000,888000000,829000000,773000000,734000000,715000000,703000000,700000000,684000000,705000000
nonInterestIncome,None,None,None,None,None,16759000000,17135000000,17666000000,None,None,4000000,None,None,204000000,227000000
otherNonOperatingIncome,272000000,394000000,457000000,483000000,250000000,424000000,123000000,188000000,117000000,70000000,40000000,70000000,49000000,27000000,67000000
depreciation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
depreciationAndAmortization,115000000,4333000000,3920000000,3881000000,171860,161141,52516,22816,2612000000,2433000000,2077000000,2272000000,62000000,2151000000,1947000000
incomeBeforeTax,699000000,476000000,748000000,-942000000,-11042000000,-10129000000,2171000000,1462000000,861000000,1795000000,1096000000,1067000000,1298000000,2773000000,1680000000
incomeTaxExpense,-1557000000,-1338000000,836000000,362000000,-3400000000,-3292000000,511000000,55000000,-27000000,345000000,268000000,237000000,440000000,547000000,460000000
interestAndDebtExpense,2850000000,1917000000,1601000000,1260000000,934000000,929000000,888000000,829000000,773000000,734000000,715000000,703000000,700000000,480000000,705000000
netIncomeFromContinuingOperations,2256000000,1814000000,-88000000,-1304000000,-7642000000,-6837000000,1660000000,1407000000,888000000,1450000000,828000000,805000000,858000000,1113000000,1234000000
comprehensiveIncomeNetOfTax,2248000000,1829000000,-81000000,-1321000000,-7643000000,-6833000000,1661000000,1405000000,870000000,1411000000,979000000,942000000,833000000,1071000000,1167000000
ebit,2671000000,1837000000,1883000000,1755000000,-10094000000,-9700000000,2905000000,2080000000,1508000000,2450000000,1762000000,1693000000,1942000000,2308000000,2385000000
ebitda,3664000000,7071000000,6567000000,4199000000,4907000000,5607000000,5913000000,5046000000,4246000000,4962000000,3888000000,4042000000,2060000000,4468000000,4084000000
netIncome,2256000000,1814000000,-88000000,-1304000000,-7642000000,-6837000000,1660000000,1407000000,888000000,1450000000,828000000,830000000,858000000,2226000000,1220000000
