Year,1970-01-01 00:00:00,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000012
fiscalDateEnding,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
grossProfit,9097000,21889000,22236000,10188000,11047000,10370000,8944000,4635000,-561000,-2559000,13544000,30896000,26777000
totalRevenue,184322000,158167000,130301000,80122000,45472000,31917000,23432000,17348000,13618000,12772000,26347000,48148000,43949000
costOfRevenue,175225000,136278000,108065000,69934000,34425000,21547000,14488000,12672000,14179000,15331000,30524000,37058000,31138000
costofGoodsAndServicesSold,38366000,32005000,27321000,17417000,8814000,6038000,4819000,3517000,4937000,4957000,8140000,8770000,7371000
operatingIncome,10780000,22938000,22366000,10249000,11066000,10370000,8944000,640000,-2481000,-5697000,-7600000,2737000,3101000
sellingGeneralAndAdministrative,135176000,103224000,80614000,52456000,25592000,15509000,9669000,9156000,9185000,11397000,21144000,28159000,23676000
researchAndDevelopment,9200000,7100000,2600000,800000,600000,200000,100000,300000,256000,394000,754000,874000,638000
operatingExpenses,146020000,111373000,83344000,53317000,26211000,15712000,9803000,10907000,10538000,13244000,25587000,31315000,26799000
investmentIncomeNet,None,None,None,None,None,None,None,None,None,None,None,3000,1000
netInterestIncome,-1094000,-440000,-95000,-19000,-5000,-154000,-1450000,-352000,-503000,-536000,-607000,-435000,-91000
interestIncome,-1070000,-404000,-54000,1000,5000,154000,None,352000,503000,None,None,None,369000
interestExpense,24000,36000,41000,20000,5000,154000,1450000,352000,503000,536000,607000,435000,460000
nonInterestIncome,39000,None,None,None,None,-3000,0,4387000,2480000,2191000,5270000,8917000,9892000
otherNonOperatingIncome,None,-300000,None,-77000,880000,None,0,-204000,-7000,-47000,77000,34000,2000
depreciation,2684000,2197000,2261000,1572000,778000,448000,252000,395000,367000,121000,708000,831000,806000
depreciationAndAmortization,1683000,1049000,130000,61000,19000,10000,34000,40000,57000,47000,732000,854000,91000
incomeBeforeTax,12579000,22198000,22271000,10153000,11941000,10216000,7494000,84000,-2968000,-6248000,-8091000,2817000,2644000
incomeTaxExpense,2847000,5150000,5168000,1079000,2449000,664000,129000,15000,-57000,-49000,-790000,1264000,1080000
interestAndDebtExpense,24000,36000,41000,20000,5000,154000,1450000,352000,503000,536000,607000,435000,91000
netIncomeFromContinuingOperations,9732000,17048000,17103000,9074000,9492000,9552000,7365000,69000,-2934000,-6231000,-8058000,1548000,1564000
comprehensiveIncomeNetOfTax,9732000,17048000,17103000,9074000,9492000,9552000,7365000,69000,-2911000,0,-7301000,1553000,1564000
ebit,10780000,22938000,22366000,10249000,11066000,10370000,8944000,436000,-2465000,-5712000,-7484000,3252000,3104000
ebitda,14286000,23283000,22442000,10234000,11965000,10380000,8978000,476000,-2408000,-5665000,-6752000,4106000,3195000
netIncome,9732000,17048000,17103000,9074000,9492000,9552000,7365000,69000,-2911000,-6199000,-7301000,1553000,1564000
